TÍTULO,AUTORAS,INSTITUCIÓN ,AÑO,ÁREA STEM,CATEGORÍA,LINK,,,,,,,,,,,,,,,,,,,
Los resultados de las primeras investigaciones identifican algunas buenas prácticas que permiten la inserción de mujeres en areas STEM,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,STEM,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/08_NOTA_DE_PRENSA_8.pdf,,,,,,,,,,,,,,,,,,,
Discriminación laboral en STEM: Mujeres bolivianas enfrentan obstáculos,Centro de Estudios de la Realidad Económica y Social,La Patria,2024,STEM,Nota de prensa,https://lapatria.bo/2024/08/25/discriminacion-laboral-en-stem-mujeres-bolivianas-enfrentan-obstaculos/,,,,,,,,,,,,,,,,,,,
    Mujeres bolivianas destacadas en ciencia y tecnología,NA,Mujeres 360,2023,STEM,Nota de prensa,https://mujeres360.org/crecimiento-personal/mujeres-bolivianas-destacadas-en-ciencia-y-tecnologia/,,,,,,,,,,,,,,,,,,,
Propuesta de políticas públicas para incrementar la participación de las mujeres en el área STEM en Bolivia,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,STEM,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/Infografia2.pdf,,,,,,,,,,,,,,,,,,,
PROYECTO DE INVESTIGACIÓN DISEÑO DE UNA METODOLOGÍA PARA SELECCIÓN DE TECNOLOGÍAS MÁS EFICIENTES PARA EL SISTEMA DE ALUMBRADO PÚBLICO DE SANTA CRUZ DE LA SIERRA,"Adriana A. Choque Caballeroa ; Zorel Gómez Vargasb , Fernando La Torre Zuritac",UCB ,2017,Ingeniería,Proyecto de Investigación,https://repositorio.ucb.edu.bo/xmlui/bitstream/handle/20.500.12771/305/Art%C3%ADculo.%20Tecnolog%C3%ADa%20LED.pdf?sequence=1&isAllowed=y,,,,,,,,,,,,,,,,,,,
"BASE DE DATOS HIDROGEOLÓGICOS ENFOCADA AL MODELAMIENTO DE AGUAS SUBTERRÁNEAS EN SAN JOSÉ DE CHIQUITOS. SANTA CRUZ, BOLIVIA","Mónica Ximena Guzmán Rojo, Fabiana Añez Melgar",UCB ,2018,Ciencia,Proyecto de Investigación,https://repositorio.ucb.edu.bo/xmlui/bitstream/handle/20.500.12771/182/CongresoALHSUD%20-%20M%C3%B3nica%20Ximena.pdf?sequence=1&isAllowed=y,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
“La pérdida de bosques tiende a propagarse alrededor de las carreteras”,Mónica Moraes,La región,2020,Ciencia,Nota de prensa,https://www.laregion.bo/la-perdida-de-bosques-tiende-a-propagarse-alrededor-de-las-carreteras/,,,,,,,,,,,,,,,,,,,
"""Marisol Toledo, la primera cruceña que ingresa a la Academia Mundial de Ciencias, estudia la riqueza de la flora boliviana""",Marisol Toledo ,La región,2023,Ciencia,Nota de prensa,https://www.laregion.bo/marisol-toledo-la-primera-crucena-que-ingresa-a-la-academia-mundial-de-ciencias-estudia-la-riqueza-de-la-flora-boliviana/,,,,,,,,,,,,,,,,,,,
Teresa Camacho: “Mostrar mi trabajo abrirá puertas para hacer más investigaciones sobre anfibios”,Teresa Camacho,La región,2020,Ciencia,Nota de prensa,https://www.laregion.bo/teresa-camacho-mostrar-mi-trabajo-abrira-puertas-para-hacer-mas-investigaciones-sobre-anfibios/,,,,,,,,,,,,,,,,,,,
Marielos Peña Claros: “En Bolivia tiene que haber un cambio profundo para dar prioridad a la investigación”,Marielos Peña Claros,La región,2022,Ciencia,Nota de prensa,https://www.laregion.bo/marielos-pena-claros-en-bolivia-tiene-que-haber-un-cambio-profundo-para-dar-prioridad-a-la-investigacion/,,,,,,,,,,,,,,,,,,,
Tres biólogas bolivianas cuentan su experiencia en el Día Internacional de la Mujer y la Ciencia,"Flavia Montaño, Mariana Da Silva, Carmen Julia Quiroga",La región,2020,Ciencia,Nota de prensa,https://www.laregion.bo/tres-biologas-bolivianas-cuentan-su-experiencia-en-el-dia-internacional-de-la-mujer-y-la-ciencia/,,,,,,,,,,,,,,,,,,,
Ximena Vélez-Liendo: detrás de las huellas del oso andino,Ximena Vélez-Liendo,La región,2018,Ciencia,Nota de prensa,https://www.laregion.bo/ximena-velez-liendo-detras-de-las-huellas-del-oso-andino/,,,,,,,,,,,,,,,,,,,
"María Laura Pinedo, la científica que convierte la contaminante saponina de la quinua en productos de limpieza",María Laura Pinedo,La región,2022,Ingeniería,Nota de prensa,https://www.laregion.bo/maria-laura-pinedo-28-la-lider-de-un-equipo-que-industrializa-la-saponina-para-convertirla-en-productos-de-limpieza-y-evitar-la-contaminacion-ambiental/,,,,,,,,,,,,,,,,,,,
El legado de la bióloga que luchó por conservar al guanaco en Bolivia continúa de la mano de pueblos guaraníes,Erika Cuellar,La región,2021,Ciencia,Nota de prensa,https://www.laregion.bo/el-legado-de-la-biologa-que-lucho-por-conservar-al-guanaco-en-bolivia-continua-de-la-mano-de-pueblos-guaranies/,,,,,,,,,,,,,,,,,,,
"María José Borda, la ingeniera ambiental que descubrió daños en la genética de ranas expuestas al agua del río Rocha",María José Borda,La región,2022,Ingeniería,Nota de prensa,https://www.laregion.bo/maria-jose-borda-la-ingeniera-ambiental-que-descubrio-danos-en-la-genetica-de-ranas-expuestas-al-agua-del-rio-rocha/,,,,,,,,,,,,,,,,,,,
Actualizan lista de mamíferos de Bolivia y registran 14 nuevas especies para la ciencia,Lizette Siles,La región,2019,Ciencia,Nota de prensa,https://www.laregion.bo/actualizan-lista-de-mamiferos-de-bolivia-y-registran-14-nuevas-especies-para-la-ciencia/,,,,,,,,,,,,,,,,,,,
"Grace Ledezma, la bióloga detrás del éxito del Bioparque Vesty Pakos de La Paz",Grace Ledezma,La región,2021,Ciencia,Nota de prensa,https://www.laregion.bo/grace-ledezma-la-biologa-detras-del-exito-del-bioparque-vesty-pakos-de-la-paz/,,,,,,,,,,,,,,,,,,,
"Tatiana Vargas, la experta que busca acercar a la ciudadanía a la ciencia para involucrarla en salvar a un río",Tatiana Vargas,La región,2022,Ingeniería,Nota de prensa,https://www.laregion.bo/tatiana-vargas-la-experta-que-busca-acercar-a-la-ciudadania-a-la-ciencia-para-involucrarla-en-salvar-a-un-rio/,,,,,,,,,,,,,,,,,,,
Ninon Ríos: una bióloga en el mundo de los caimanes de Bolivia,Ninon Rios,La región,2019,Ciencia,Nota de prensa,https://www.laregion.bo/ninon-rios-una-biologa-en-el-mundo-de-los-caimanes-de-bolivia/,,,,,,,,,,,,,,,,,,,
Género y apropiación tecnológica en la Amazonía boliviana,Adriana Montenegro Oporto,UCB,2020,Tecnología,Paper escrito por mujeres STEM,https://repositorio.ucb.edu.bo/xmlui/handle/20.500.12771/382,,,,,,,,,,,,,,,,,,,
Effective participatory science education in a diverse Latin American population,"Leonardo M. R. Ferreira, Giovanni A. Carosso, Natalia Montellano Duran, Soad V. Bohorquez-Massud, Gustavo Vaca-Diez, Laura Ines Rivera-Betancourt, Yara Rodriguez, Dalila G. Ordonez, Diana K. Alatriste-Gonzalez, Aldo Vacaflores, Lilian Gonzalez Auza, Christian Schuetz, Lucia Elena Alvarado-Arnez, Carolina V. Alexander-Savino, Omar Gandarilla & Mohammed A. Mostajo-Radji",NA,2019,Ciencia,Paper colaborativo mujeres STEM,https://www.nature.com/articles/s41599-019-0275-0,,,,,,,,,,,,,,,,,,,
Internet-enabled lab-on-a-chip technology for education,"Tyler Sano, Mohammad Julker Neyen Sampad, Jesus Gonzalez-Ferrer, Sebastian Hernandez, Samira Vera-Choqqueccota, Paola A. Vargas, Roberto Urcuyo, Natalia Montellano Duran, Mircea Teodorescu, David Haussler, Holger Schmidt & Mohammed A. Mostajo-Radji",NA,2024,Tecnología,Paper colaborativo mujeres STEM,https://www.nature.com/articles/s41598-024-65346-0,,,,,,,,,,,,,,,,,,,
Propiedades estructurales y funcionales de las proteínas de Chenopodium quinoa y sus hidrolizados,Natalia Montellano,Universidad Nacional de Rosario,2018,Ciencia,Paper escrito por mujeres STEM,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://rephip.unr.edu.ar/server/api/core/bitstreams/ce0ed102-75fc-47bb-bb52-0670bf53b50c/content,,,,,,,,,,,,,,,,,,,
COMPOSICIÓN NUTRICIONAL Y COMPUESTOS BIOACTIVOS DEL FRUTO ALLAGOPTERA LEUCOCALYX (MOTACUCHI) ,"Ayelen Camacho, Natalia Montellano",UCB,2022,Ciencia,Paper escrito por mujeres STEM,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://repositorio.ucb.edu.bo/xmlui/bitstream/handle/20.500.12771/1101/CAMACHO.pdf?sequence=1,,,,,,,,,,,,,,,,,,,
Estudios preliminares de propiedades sensoriales y antioxidantes del pacay (inga edulis) en bosques semideciduos chiquitanos,P. A Flores Rodriguez y Natalia Montellano,UCB,2022,Ciencia,Paper colaborativo mujeres STEM,http://www.repositorio.ucb.edu.bo/xmlui/handle/20.500.12771/750,,,,,,,,,,,,,,,,,,,
Caracterización biológica del fruto Allagoptera leucocalyx (motacuchí),"Ayelen Camacho, Natalia Montellano",UCB,2022,Ciencia,Paper escrito por mujeres STEM,https://repositorio.ucb.edu.bo/xmlui/handle/20.500.12771/752,,,,,,,,,,,,,,,,,,,
Gender Gap in IT in Latin America,"Indira Guzman, Rita Berardi, Cristiano Maciel, Patricia Cabero Tapia, Gabriela Marin-Raventos, Nadia Rodriguez, Michelle Rodriguez",AMCIS,2020,Tecnología,Paper colaborativo mujeres STEM,https://aisel.aisnet.org/amcis2020/panels/panels/4/,,,,,,,,,,,,,,,,,,,
Tracking Diffusion Patterns in Techno-Economic Paradigms: A Methodological Approach for Bolivian FLOSS-Learning,Patricia Cabero Tapia,Technical University of Berlin,2013,Tecnología,Paper escrito por mujeres STEM,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://redesist.ie.ufrj.br/lalics/papers/71_Tracking_Diffusion_Patterns_in_Techno_Economic_Paradigms__A_Methodological_Approach_for_Bolivian_FLOSS_Learning.pdf,,,,,,,,,,,,,,,,,,,
"Biología reproductiva de tres especies de Polylepis (P. neglecta, P. incarum y P. pacensis), con énfasis en su comportamiento germinativo","Cecilia K. Vega1, C. Gabriela Villegas; Paola A. Rocabado; Jorge A. N. Quezada; Mercy Y. López & Ana W. Quevedo","Unidad de Biotecnología Vegetal del Instituto de Biología Molecular y Biotecnología. Carrera de Biología de la Universidad Mayor de San Andrés - U.M.S.A., Laboratorio de Botánica. Facultad de Ciencias Agrícolas. Universidad Autónoma Gabriel René Moreno - U.A.G.R.M",2018,Ciencia ,Paper colaborativo mujeres STEM,https://www.scielo.org.ar/scielo.php?pid=S1667-782X2018000200014&script=sci_arttext,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
