TÍTULO,AUTORAS,INSTITUCIÓN ,AÑO,ÁREA STEM,CATEGORÍA,LINK,,,,,,,,,,,,,,,,,,,
Sistema prototipo de registro y seguimiento de activos basado en la tecnología de identificación por radiofrecuencia - RFID Aplicación: Activos y equipos de laboratorio en Ingeniería Electrónica de la UMSA,Alba Esther Espejo Velasco ,UMSA,2021,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/36411,,,,,,,,,,,,,,,,,,,
Diseño de un espirómetro con el sensor TF800WA para evaluar la capacidad pulmonar de pacientes. Aplicación para el Instituto Nacional de Salud Ocupacional,Alcira Elena Alcón Muñecas,UMSA,2021,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/35694,,,,,,,,,,,,,,,,,,,
Integración de dispositivos de seguridad sobre una plataforma IoT para el IEA.,María Cecilia Ballesteros Gonzales,UMSA,2023,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/35042,,,,,,,,,,,,,,,,,,,
Estudio de una Red (SDN) con el Protocolo Openflow y el Controlador RYU,Elizabeth Vino Duran,UMSA,2019,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/34665,,,,,,,,,,,,,,,,,,,
Descripción del proceso de extracción asistida por radiación.,Hilda Alanoca Aduviri,UMSA,2024,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/38257,,,,,,,,,,,,,,,,,,,
Desarrollo de un biocomposito soportado en una columna de lecho fijo para el tratamiento de D.A.M. caso Milluni,Jhoseline Carla Arroa Guachalla,UMSA,2021,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/36759,,,,,,,,,,,,,,,,,,,
Restructuración del área de diseño y desarrollo de la División líquidos de SOALPRO S.R.L.,Teresa Loyola Huanca Calle,UMSA,2023,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/36299,,,,,,,,,,,,,,,,,,,
Estudio básico para la determinación de las condiciones de operación para la extracción del aceite esencial de Myrcianthes pseudomato (D. Legrand) McVaugh,Ana Gabriela Hilari Calisaya,UMSA,2020,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/35288,,,,,,,,,,,,,,,,,,,
Análisis matemático cualitativo del modelo SIR epidemiológico,Ximena Rosario Copa Huanca,UMSA,2023,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/33829,,,,,,,,,,,,,,,,,,,
División simple y justa del cuadrado unitario,Carla Maldonado Ivankovik,UMSA,2021,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/28276,,,,,,,,,,,,,,,,,,,
Ecuaciones integrales de Fredholm y Volterra asociada a ecuaciones diferenciales,Danitza Miriam Quispe Ortiz,UMSA,2021,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/26661,,,,,,,,,,,,,,,,,,,
Una caracterización de operadores diferenciales,Adriana Miriam Mallea Morales,UMSA,1996,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/26416,,,,,,,,,,,,,,,,,,,
Teoremas de descomposición de Weyl y Levi,Gabriela Claudia Calamani Mamani,UMSA,2020,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/25010,,,,,,,,,,,,,,,,,,,
Criterios de Cartan para la clasificación de Álgebras de Lie solubles y semisimples,Anahí Jessica Yujra Mamani,UMSA,2018,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/23711,,,,,,,,,,,,,,,,,,,
Grupo simpléctico,Jacqueline Mónica Ramirez,UMSA,2013,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/17791,,,,,,,,,,,,,,,,,,,
El Teorema de Órbitas,Paola Geovanna Patzi Aquino,UMSA,2012,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/17789,,,,,,,,,,,,,,,,,,,
Transformada discreta de Fourier en el tratamiento de señales,Verónica Callisaya Cantuta,UMSA,2011,Matemáticas,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/17775,,,,,,,,,,,,,,,,,,,
Modelo de optimización de procesos operativos de tecnologías de la información durante procesos electorales,Brenda Isabel Fernández Robles,UMSA,2020,Tecnología,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/28782,,,,,,,,,,,,,,,,,,,
Modelo de inteligencia de negocios para el manejo de estadística en la venta directa de valores Caso: Banco Central de Bolivia,Viviana Luque Salluco,UMSA,2020,Tecnología,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/27699,,,,,,,,,,,,,,,,,,,
Modelo de seguridad para el desarrollo de software,Maribel Pachacuti Blanco,UMSA,2020,Tecnología,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/27697,,,,,,,,,,,,,,,,,,,
Modelo de transformación digital para mejorar los procesos educativos en educación superior aplicando Big Data,Shirley Solange Salazar Montoya,UMSA,2020,Tecnología,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/27693,,,,,,,,,,,,,,,,,,,
Estudio del impacto de la acreditación en el aprovechamiento Académico de la Carrera de Ingeniería Agronómica por el Metodo de suavización exponencial de holt winters,Thelma Paola Aramayo Muñoz,UMSA,2018,Ciencia,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/17617,,,,,,,,,,,,,,,,,,,
"Características y determinantes del empleo en el sector informal en Bolivia, Aplicación del Modelo Logit Multinomial",Elizabeth Sonia Nina Siñani,UMSA,2018,Ciencia,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/17615,,,,,,,,,,,,,,,,,,,
"Aplicación practica del análisis de correspondencia simple, en la interpretación de la gravedad de accidentes de trabajo en Bolivia: caso Instituto Nacional de Salud Ocupacional",Alizon Emilze Perez Butron,UMSA,2014,Ciencia,Paper escrito por mujeres STEM,http://hdl.handle.net/123456789/5332,,,,,,,,,,,,,,,,,,,
"TRANSDISCIPLINARY CO-CREATION OF FOOD SOVEREIGNTY. A CASE STUDY IN TIRAQUE, BOLIVIA",Helga Gruberg Cazon,UCB,2019,Ingeniería,Paper escrito por mujeres STEM,http://www.scielo.org.bo/scielo.php?script=sci_abstract&pid=S1683-07892019000300003&lng=es&nrm=iso&tlng=en,,,,,,,,,,,,,,,,,,,
EXERGY ANALYSIS OF A SOLAR HEATING AND COOLING SYSTEM THAT USES PHASE CHANGE MATERIALS. PCMSOL PROJECT,"Diana Maldonado, Marcos Luján, Sabina Rosiek, Javier Batlles, Svetlana Ushak",UCB,2019,Ingeniería,Paper colaborativo mujeres STEM,http://www.scielo.org.bo/scielo.php?script=sci_abstract&pid=S1683-07892019000300002&lng=es&nrm=iso&tlng=en,,,,,,,,,,,,,,,,,,,
Más de 250 jóvenes bolivianas se gradúan con habilidades tecnológicas del Programa Mujeres 360,NA ,Mujeres 360 ,2024,Tecnología,Nota de prensa ,https://mujeres360.org/tecnologia/mas-de-250-jovenes-bolivianas-se-graduan-con-habilidades-tecnologicas-del-programa-mujeres-360/,,,,,,,,,,,,,,,,,,,
"Allison Silva, la boliviana que lidera una fundación que motiva e impulsa a emprendedores",Paúl Granillo,Unitel,2023,Tecnología,Nota de prensa escrito por hombre pero de mujer,https://noticias.unitel.bo/sociedad/allison-silva-la-boliviana-que-lidera-una-fundacion-que-motiva-e-impulsa-a-emprendedores-YD7522706,,,,,,,,,,,,,,,,,,,
